"tree_id","displayed_scientific_name","synonyms","family","displayed_common_name","alternative_common_names","generic_1","generic_2","memo","ethnobotanical_info","pacific_island","photolocations","display","landscape_application","landscape_use","native_range","california_native","ca_invasive","hi_native","invasive_text","height_low","height_high","width_low","width_high","growth_rate_low","growth_rate_high","foliage_type","tree_shape","litter_type","bark_color","bark_texture","branch_strength_low","branch_strength_high","leaf_form","leaf_arrangement","leaflet_shape","foliage_growth_color","foliage_fall_color","fruit_size","fruit_color","fruit_type","fruit_value","fruiting_time","flower_showiness","fragrance","flower_color","flower_time","flower_type","usda_zone","sunset_zone","salinity_tolerance","planting_area","soil_texture","saltspray_tolerance","exposure_low","exposure_high","soil_ph_low","soil_ph_high","pest_resistant","pest_susceptibility","disease_resistant","disease_susceptibility","root_damage_potential","health_hazard","attracts_wildlife","biogenic_emissions","deer_palatable","water_use","schoolyard","appraisal","app_lcant","app_grrating"
11,"Abies pinsapo",,"Pinaceae","SPANISH FIR",,"FIR",,"Can be grown in a container. Glauca cultivar has blue gray foliage. Variety maroccana, native to Morocco, has less glaucus leaves.","",0,"Hoyt Arboretum - Portland, OR, Longwood Gardens - Kennette Square, PA, Sacramento State University - Sacramento, CA, Finch Arboretum - Spokane, WA and Mendocino Coast Botanical Gardens - Fort Bragg, CA",1,"Screen","Bonsai","Spain",0,0,0,"",25,80,10,25,12,12,"0","Conical","Dry Fruit","Dark Brown","Fissured","3","3","Simple","Alternate","Needle","Green",0,"Very Large","Brown or Purple","Cone",,"Fall,Winter,Summer","",1,,"Spring","Has male and female reproductive parts in each flower (perfect)","6,7,8","5,6,7,8,9,10,11,14,15,16,17,18,19,20,21,22,23,24",,">7","Loam,Sand","Moderate",2,3,1,5,,"Aphids",,,"Moderate","None Known","Birds,Squirrels","",0,"L",0,"","",""
12,"Abies procera","Abies nobilis","Pinaceae","NOBLE FIR",,"FIR",,"Noble fir grows widely in the cool, moist forests of the Cascade Range throughout Oregon and Washington and the Klamath Mountains of northwestern California. The lines between species can blur, especially in plants, and at the southern end of the extent of noble fir, it hybridizes with and grades into red fir (gt;Abies magnificagt;). Noble firs have a tightly packed conical canopy of bluish-green needles, bent upward along the stems, and upright cones, with pointed leaf-like projections emerging from and covering the cones.","",0,"Regional Parks Botanic Garden, Tilden Regional Park - Berkeley, CA and Hoyt Arboretum - Portland, OR",1,,,"Oregon, Southern Washington, and Northern California",1,0,0,"",50,120,20,30,24,36,"0","Conical","Dry Fruit","Red Brown","Fissured","5","5","Simple","Alternate","Needle","Bluish Green,Silver,Gray Green",0,"Very Large","Brown or Purple","Cone",,"Fall,Winter","",1,,"Spring","Has male and female reproductive parts in each flower (perfect)","6,7,8","2,3,4,5,6,15,16,17",,">7","Loam,Sand,Clay","Moderate",2,3,1,4,,"Beetle Borers",,"Rust","Moderate","None Known","Birds,Squirrels","Moderate",0,"M",0,,,
13,"Vachellia abyssinica","Acacia abyssinica","Fabaceae","ACACIA","FLAT-TOP ACACIA","ACACIA",,"Known commonly as Nyanga flat-top because of its flat-topped nature. Will drop its leaves in cooler climates.amp; In the wild can reach 50 feet.","",0,"SD Botanical Gardens - Encinitas, CA",1,"Screen",,"Africa",0,0,0,"",25,25,30,30,12,12,"2","Rounded,Vase","Dry Fruit","Dark Gray",,"1","1","Bipinnately Compound","Alternate","Linear","Light Green",0,"","Brown","Legume",,"Fall,Winter,Summer","Showy",0,"Yellow","Spring",,"11","13,14,15,16,17,18,19,20,21,22,23,24",,"4 to 7","Loam,Sand","Moderate",2,3,4,7,,"Invasive Shot Hole Borer",,"Root Rot","Low","Allergy","Birds","",0,"VL",0,"Yes","24"" box","2"
14,"Acacia aneura",,"Fabaceae","MULGA",,"ACACIA",,"Fine patio tree for hot, dry areas. Hardy to about 15 degrees F.","",0,"LA County Arboretum - Arcadia, CA and UC Davis - Davis, CA",1,"Screen",,"Western Australia",0,0,0,"",15,20,15,20,24,24,"3","Rounded","Dry Fruit","Dark Brown or Light Green","Fissured","3","3","Simple","Alternate","Linear","Bluish Green,Silver,Gray Green",0,"Large","Brown","Legume",,"Fall,Winter,Summer","Showy",0,"Yellow","Spring",,,"8,9,12,13,14,15,16,17,18,19,20,21,22,23,24",,"2 to 4","Loam,Sand,Clay","Moderate",2,3,3,7,,"Invasive Shot Hole Borer",,"Root Rot","Low","Allergy","Birds","",0,"VL",1,"Yes","24"" box","2"
15,"Acacia auriculiformis",,"Fabaceae","EARLEAF ACACIA","EARPOD WATTLE","ACACIA",,"Branches droop and are susceptible to breakage. Thick bark.","",0,"Koko Crater - Oahu, HI",1,,,"Australia, Indonesia, and Papua New Guinea",0,0,0,"",35,50,25,35,24,36,"3","Rounded","Dry Fruit,Leaves","Gray or Brown","Fissured",,,"Simple","Alternate","Spear-shaped","Green",0,"Large","Brown","Legume",,"Spring,Summer","Showy",0,"Yellow","Spring","Has male and female reproductive parts in each flower (perfect)","10,11","8,9,12,13,14,15,16,17,18,19,20,21,22,23,24",,">7","Loam,Sand,Clay","Moderate",3,3,3,7,,"Invasive Shot Hole Borer",,"Anthracnose","Low",,,"",,"L",0,,,
16,"Acacia baileyana",,"Fabaceae","BAILEY ACACIA","COOTAMUNDRA WATTLE,GOLDEN MIMOSA TREE","ACACIA",,"Bailey acacia grows best in light, well-drained, fertile soil. Acacia is an attractive low water use shrub or small tree, which has a showy spring flowering quality, as well as its distinctive, evergreen, feathery foliage. Its roots may be invasive in residential garden settings, but is effective as a soil stabilizer. It may require regularly scheduled light top-trimming (but not necessarily shearing) of vigorous top shoots to maintain its height below 25.","",0,"Los Angeles County Arboretum - Arcadia, CA, San Luis Obispo, CA, San Luis Obispo, CA and San Francisco, CA. New Zealand",1,"Screen",,"Eastern Australia",0,1,0,"This plant is classified as potentially invasive in specific areas of California by the California Invasive Plant Council (&lt;a href=&quot;http://www.cal-ipc.org/&quot;&gt;Cal-IPC&lt;/a&gt;).",20,30,20,40,36,36,"0","Rounded","Dry Fruit","Dark Gray or Light Gray","Furrowed,Smooth","1","1","Bipinnately Compound","Alternate","Linear","Bluish Green,Silver,Gray Green",0,"Large","Brown","Legume",,"Fall,Winter,Summer","Showy",1,"Yellow","Winter,Spring",,"8,9,10","7,8,9,13,14,15,16,17,18,19,20,21,22,23,24","Good Inland","4 to 7","Loam,Sand,Clay","Moderate",2,3,3,7,,"Invasive Shot Hole Borer,Thrip",,"Phytophthora","Moderate","Allergy","Bees,Birds","Moderate",0,"L",0,"Yes","24"" box","3"
17,"Acacia baileyana 'Purpurea'",,"Fabaceae","PURPLE-LEAF ACACIA","PURPLE FERNLEAF ACACIA","ACACIA",,"Grows best in light, well-drained, fertile soil. Has purple colored new growth. Low water needs.","",0,"Glendora Arboretum and Botanical Garden - Glendora, CA, San Luis Obispo, CA, San Marcos Growers - Santa Barbara, CA and UC Santa Cruz Arboretum - Santa Cruz, CA",1,"Screen",,"Eastern Australia",0,0,0,"",20,30,20,30,36,36,"3","Rounded","Dry Fruit","Dark Gray or Light Gray","Furrowed,Smooth","1","1","Bipinnately Compound","Alternate","Linear","Bluish Green,Silver,Gray Green",0,"Large","Brown","Legume",,"Fall,Winter,Summer","Showy",1,"Yellow","Winter,Spring",,"8,9,10","8,9,13,14,15,16,17,18,19,20,21,22,23,24","Good Inland","4 to 7","Loam,Sand,Clay","Moderate",2,3,3,7,,"Invasive Shot Hole Borer,Thrip",,"Phytophthora,Root Rot","Moderate","Allergy","Birds","",0,"VL",0,,,
18,"Acacia boormanii","Racosperma boormanii","Fabaceae","SNOWY RIVER WATTLE","BOORMAN ACACIA","ACACIA",,"","",0,"UC Davis - Davis, CA, Leaning Pine Arboretum - Cal Poly San Luis Obispo, CA, Lotusland - Santa Barbara, CA and Cal Poly State University - San Luis Obispo, CA",1,"Screen","Hedged","Southeastern Australia",0,0,0,"",10,20,5,15,24,36,"3","Rounded","Dry Fruit","Light Gray","Smooth","2","2","Simple","Alternate","Spear-shaped","Bluish Green,Silver,Gray Green",0,"Very Large","Brown","Legume",,"Summer","",1,"Yellow","Spring",,,"8,9,12,13,14,15,16,17,18,19,20,21,22,23,24",,"2 to 4","Loam,Sand","Moderate",2,3,3,7,,"Invasive Shot Hole Borer",,"Root Rot","Low","Allergy","Birds","",0,"L",0,,,
19,"Acacia constricta","Vachellia constricta","Fabaceae","WHITETHORN ACACIA","MESCAT ACACIA,MESCAT WATTLE","ACACIA",,"Forms dense thicket unless trained to tree form.","",0,"UC Davis - Davis, CA, The Living Desert - Palm Desert, CA and Quail Botanical Gardens - Encinitas, CA",1,"Screen",,"Texas and Arizona",0,0,0,"",10,20,10,20,24,24,"2","Rounded","Dry Fruit","Dark Brown","Scaly,Smooth","1","1","Bipinnately Compound","Alternate","Linear","Green",0,"Large","Brown","Legume","Wildlife use it","Fall,Winter","Showy",1,"Yellow","Summer","Has male and female reproductive parts in each flower (perfect)","6","10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",,"2 to 4","Loam,Sand","Moderate",2,3,3,7,,"Invasive Shot Hole Borer,Caterpillars",,"Root Rot","Low","Allergy","Birds","",0,"L",0,"Yes","24"" box","2"
20,"Acacia craspedocarpa","Racosperma craspedocarpum","Fabaceae","LEATHER-LEAF ACACIA","LEATHER-LEAF,BROAD LEAVED MULGA,DESERT ACACIA","ACACIA",,"","",0,"Boyce Thompson Arboretum - Superior, AZ and Los Angeles County Arboretum - Arcadia, CA",1,"Screen",,"Western Australia",0,0,0,"",12,15,12,15,12,12,"0","Rounded","Dry Fruit","Light Gray","Smooth","1","1","Simple","Alternate","Oval","Bluish Green,Silver,Gray Green",1,"Medium","Brown","Legume","Wildlife use it","Winter,Spring,Summer","Showy",0,"Yellow","Winter,Spring","Has male and female reproductive parts in each flower (perfect)",,"8,9,12,13,14,15,16,17,18,19,20,21,22,23,24",,"2 to 4","Loam,Sand","Moderate",3,3,3,7,,"Invasive Shot Hole Borer",,"Root Rot","Low","Allergy","Birds","",0,"L",0,,,
21,"Acacia cultriformis",,"Fabaceae","KNIFE ACACIA","KNIFE-LEAF WATTLE,DOGTOOTH WATTLE","ACACIA",,"Branches used for floral arrangements.","",0,"Descanso Gardens - La Canada Flintridge, CA, Ruth Bancroft Garden - Walnut Creek, CA, Lotusland - Santa Barbara, CA, Los Angeles County Arboretum - Arcadia, CA and Cal Poly State University - San Luis Obispo, CA",1,"Screen","Hedged","Eastern Australia",0,0,0,"",10,20,10,15,24,36,"3","Rounded,Vase","Dry Fruit","Dark Brown or Light Green","Furrowed,Smooth","1","1","Simple","Alternate","Sickle-shaped","Bluish Green,Silver,Gray Green",0,"Large","Brown","Legume",,"Fall,Winter,Summer","Showy",1,"Yellow","Spring",,"9,10","13,14,15,16,17,18,19,20,21,22,23,24",,"2 to 4","Loam,Sand,Clay","Moderate",2,3,3,5,,"Invasive Shot Hole Borer",,"Root Rot","Low","Allergy","Birds","",0,"L",0,"Yes","24"" box","3"
22,"Acacia cyclops","Acacia cyclopis","Fabaceae","CYCLOP ACACIA","RED-EYE WATTLE","ACACIA",,"Very drought resistant. Tolerates saline soils.","",0,"Los Angeles County Arboretum - Arcadia, CA",1,"Screen",,"Australia",0,1,0,"This plant is classified as potentially invasive in specific areas of California by the California Invasive Plant Council (&lt;a href=&quot;http://www.cal-ipc.org/&quot;&gt;Cal-IPC&lt;/a&gt;).",10,20,15,20,12,24,"0","Rounded,Vase","Dry Fruit","Brown","Fissured","1","1","Simple","Alternate","Linear","Dark Green",0,"Very Large","Brown","Legume",,"Fall,Winter,Summer","",0,"Yellow","Spring",,,"8,9,13,14,15,16,17,18,19,20,21,22,23,24","Good Inland","2 to 4","Loam,Sand","Moderate",2,3,3,7,,"Invasive Shot Hole Borer",,"Root Rot","Low","Allergy","Birds","",0,"L",0,,,
23,"Acacia dealbata","Acacia decurrens var. dealbata","Fabaceae","SILVER WATTLE",,"ACACIA",,"Grows best in light, well-drained, fertile soil, but tolerates clay sloped areas.","",0,"UC Davis Arboretum - Davis, CA",1,,,"Southeastern Australia",0,1,0,"%This plant is classified as invasive by the California Invasive Plant Council (&lt;a href=&quot;http://www.cal-ipc.org/&quot;&gt;Cal-IPC&lt;/a&gt;). Its rating is moderate.%",50,50,40,50,36,36,"3","Rounded","Dry Fruit","Dark Gray, Light Gray or Light Green","Fissured","1","1","Bipinnately Compound","Alternate","Oblong","Bluish Green,Silver,Gray Green",0,"Large","Brown","Legume",,"Winter,Spring,Summer","Showy",1,"Yellow","Winter,Spring","Has male and female reproductive parts in each flower (perfect)","9,10","8,9,14,15,16,17,18,19,20,21,22,23,24","Good Inland",">7","Loam,Sand,Clay","Moderate",2,3,3,7,,"Invasive Shot Hole Borer,Thrip",,"Fire Blight,Leaf Blight,Phytophthora,Root Rot","Moderate","Allergy","Birds","",0,"L",0,"Yes","24"" box","4"
24,"Acacia decurrens",,"Fabaceae","GREEN WATTLE",,"ACACIA",,"Grows best in light, well-drained, fertile soil, but tolerates clay sloped areas.","",0,"LA County Arboretum - Arcadia, CA, Cal Poly State University - San Luis Obispo, CA and Lotusland - Santa Barbara, CA",1,,"Hedged","Eastern New South Wales",0,0,0,"",15,50,10,25,36,36,"3","Rounded,Vase","Dry Fruit","Dark Gray","Furrowed,Smooth","1","1","Bipinnately Compound","Alternate","Linear","Dark Green",0,"Very Large","Brown","Legume",,"Fall,Spring,Summer","Showy",1,"Yellow","Winter,Spring",,"9,10,11","8,9,14,15,16,17,18,19,20,21,22,23,24",,">7","Loam,Sand,Clay","Moderate",2,3,3,7,,"Invasive Shot Hole Borer,Beetle Borers",,"Armillaria,Root Rot","High","Allergy","Birds","",0,"L",0,"Yes","24"" box","4"
25,"Vachellia farnesiana","Acacia farnesiana","Fabaceae","SWEET ACACIA","MEALY WATTLE,HUISACHE","ACACIA",,"Does best in loose, well-drained soil. Intolerant of heavy, clay soils. Spines on branches. Flowers used for making perfume.","",0,"Los Angeles County Arboretum - Arcadia, CA and Quail Botanic Gardens - Encinitas, CA",1,"Screen","Hedged","Mexico and Central America",0,0,0,"",15,25,15,25,24,36,"2","Rounded,Vase","Dry Fruit","Dark Brown, Dark Gray, Light Gray or Light Green","Scaly,Smooth","1","1","Bipinnately Compound","Alternate","Linear","Bluish Green,Silver,Gray Green",0,"Large","Brown","Legume",,"Winter,Summer","Showy",1,"Orange,Yellow","Winter,Spring",,"9,10,11","13,14,15,16,17,18,19,20,21,22,23,24","Good Inland","4 to 7","Loam,Sand","Moderate",2,3,3,7,,"Invasive Shot Hole Borer,Caterpillars","Texas Root Rot","Root Rot","Low","Allergy","Birds","Moderate",0,"VL",0,"Yes","24"" box","2"
26,"Acacia howittii","Racosperma howittii","Fabaceae","STICKY WATTLE","HOWITT ACACIA,STICKY ACACIA,HOWITT'S WATTLE","ACACIA",,"Effective windbreak and screen. Has a graceful weeping habit. Dense green leaves (phyllodes) are somewhat sticky, hence the name of Sticky Wattle. Has hairy stems and leaves.","",0,"Los Angeles County Arboretum - Arcadia, CA",0,"Screen","Bonsai,Hedged","Southwestern Australia",0,0,0,"",20,30,10,10,24,36,"3","Rounded","Dry Fruit","Brown","Smooth","3","3","Simple","Alternate","Ovate","Bluish Green,Silver,Gray Green",0,"Medium to Large","Brown","Legume",,"Winter,Summer","Showy",1,"Yellow","Spring",,"8,9,10","8,9,13,14,15,16,17,18,19,20,21,22,23,24",,"4 to 7","Loam,Sand,Clay","Moderate",2,3,3,7,,"Invasive Shot Hole Borer",,"Root Rot","Low","Allergy","Birds","",0,"L",0,,,
27,"Acacia longifolia",,"Fabaceae","SYDNEY GOLDEN WATTLE",,"ACACIA",,"Prefers a light, well-drained, fertile soil, but tolerates clay sloped areas. Relatively drought tolerant. Resistant to oak root fungus.","",0,"San Luis Obispo, CA and Los Angeles County Arboretum - Arcadia, CA",1,"Screen","Hedged","Southeastern Australia",0,1,0,"This plant is classified as invasive by the California Invasive Plant Council (&lt;a href=&quot;http://www.cal-ipc.org/&quot;&gt;Cal-IPC&lt;/a&gt;) classifies the invasiveness of the species of this plant as High.",10,25,9,15,36,36,"3","Rounded","Dry Fruit","Dark Gray","Smooth","1","1","Simple","Alternate","Oblanceolate","Light Green",0,"Very Large","Brown","Legume",,"Winter,Spring,Summer","Showy",1,"Yellow","Winter,Spring",,"9,10,11","8,9,14,15,16,17,18,19,20,21,22,23,24","Good Inland","4 to 7","Loam,Sand,Clay","Moderate",2,3,3,7,,"Invasive Shot Hole Borer,Scales,Thrip","Armillaria","Phytophthora,Root Rot","High","Allergy","Birds","",0,"L",0,"Yes","24"" box","2"
